algo,length,charset_size,hash_hex,time_s,rate_hps
MD5,1,,6f8f57715090da2632453988d9a1501b,0.000000,72840.000000
SHA3-256,1,26,1b42f48aa4371867a7c51ae6f237f35626e02c12eefa592614e1b10af7769370,0.000000,80520.000000
MD5,2,,b74df323e3939b563635a2cba7a7afba,0.000000,1990000.000000
SHA3-256,2,26,30031dc6e68aad4507315af3c58bb86a188f13f82176d5367f57938b2820f2d6,0.000000,2210000.000000
MD5,3,,f022b8970604d7f4472189cb21df2c20,0.000000,49240000.000000
SHA3-256,3,26,f66b7b4f065d64dbfd313b6fc1cdfda1ca8db76938c4b8f6846b78e055b4883a,0.000000,33780000.000000
MD5,4,,d90ccffa01275a7a7795fb6d1274e75f,0.000000,933010000.000000
SHA3-256,4,26,64f19654afd59b8d6f802082764959c0a87d15a4dcb90cd30e7221e712743ead,0.000000,810470000.000000
MD5,5,,3c63ea9217846fc82d68833f8f3ce182,0.000000,5680000000.000000
SHA3-256,5,26,524b62622594e52d3d8cf041ee5b0228adc8f62fe40771ce66ea220a6ebf6f4a,0.010000,2000000000.000000
MD5,6,,33d62258d6070ca55ce8d785db6ed0db,0.050000,6670000000.000000
SHA3-256,6,26,027526a694df868b9079bcc6b7d9385ac61e3297528eca6b44600bcb4f6c7d46,0.140000,2240000000.000000
MD5,7,,8cac5ac44b51f182143a43c4cdb6c4ac,1.200000,3320000000.000000
SHA3-256,7,26,a80e801df37139f27c9daf03bbe591536d024f6ea9efad139bc0f57c495510fa,3.600000,1110000000.000000
MD5,8,,475bfffa24277315d0349347ef8b7305,31.460000,3110000000.000000
SHA3-256,8,26,64c4b841689f71be6a7d1c620633e48da9b78ad2403410c5c89e9b62e3b6f2a2,95.140000,1020000000.000000
MD5,9,,0a101fbc40a151617168b9a23810ad8f,815.650000,3080000000.000000
SHA3-256,9,26,b45322f11869d9c11d92f15c0735d9f37aea9e6edb36d0af56202dceafd380d2,2514.590000,998970000.000000
